#Taken from Sobolev (1975), Tab. (2.3), pag. 33
-1  0.500 0.700 0.800 0.900 0.950 0.975 0.995 1.000
0.0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.1 1.072 1.113 1.139 1.172 1.195 1.211 1.232 1.247
0.2 1.113 1.183 1.229 1.291 1.337 1.370 1.415 1.450
0.3 1.144 1.236 1.301 1.391 1.461 1.512 1.583 1.643
0.4 1.168 1.281 1.361 1.478 1.571 1.641 1.742 1.829
0.5 1.188 1.318 1.413 1.556 1.672 1.762 1.895 2.013
0.6 1.204 1.350 1.459 1.626 1.765 1.875 2.042 2.194
0.7 1.219 1.378 1.500 1.689 1.851 1.982 2.184 2.374
0.8 1.231 1.403 1.536 1.747 1.931 2.083 2.322 2.553
0.9 1.242 1.453 1.568 1.801 2.007 2.178 2.456 2.731
1.0 1.251 1.445 1.598 1.850 2.077 2.271 2.587 2.908
